"ID";"Date";"global_id";"AdmArea";"District";"Longitude_WGS84";"Latitude_WGS84";"Location";"Results";"geoData";
"5";"11.01.2016";"272626552";"Восточный административный округ";"район Восточный";"37.797262";"56.007634";"посёлок Акулово, дом 7";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.797261999821, 56.007634000087]}";
"6";"12.01.2016";"272626553";"Юго-Восточный административный округ";"район Некрасовка";"37.915094";"55.705884";"Рождественская улица, дом 21, корпус 4";"По отдельным веществам в атмосферном воздухе выявлены превышения предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.915094000367, 55.705883999939]}";
"7";"11.01.2016";"272626555";"Восточный административный округ";"район Новогиреево";"37.801156";"55.743139";"Перовская улица, дом 66, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.801155999846, 55.743138999795]}";
"8";"13.01.2016";"272626556";"Зеленоградский административный округ";"район Старое Крюково";"37.213224";"55.978150";"г. Зеленоград, Георгиевский проспект, дом 7";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.213224000395, 55.978149999771]}";
"9";"13.01.2016";"272626557";"Зеленоградский административный округ";"район Силино";"37.168481";"55.992985";"город Зеленоград, корпус 1131";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.168481000184, 55.992984999902]}";
"10";"13.01.2016";"272626558";"Зеленоградский административный округ";"район Савёлки";"37.255253";"55.991013";"город Зеленоград, корпус 526";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.255252999689, 55.991012999755]}";
"11";"12.01.2016";"272626560";"Северо-Восточный административный округ";"район Свиблово";"37.663297";"55.84818";"проезд Серебрякова, дом 21, строение 4";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.663296999678, 55.848180000212]}";
"12";"15.01.2016";"272626561";"Северо-Восточный административный округ";"Останкинский район";"37.621570";"55.819965";"Аргуновская улица, дом 18";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.621569999609, 55.819964999993]}";
"13";"15.01.2016";"272626562";"Северо-Восточный административный округ";"Бутырский район";"37.582349";"55.827808";"улица Милашенкова, дом 12";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.582349000044, 55.827808000097]}";
"14";"14.01.2016";"272626563";"Новомосковский административный округ";"поселение Внуковское";"37.274766";"55.620504";"деревня Ликова, дом 41А";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.274766000373, 55.62050400024]}";
