"ID";"Period";"global_id";"StationName";"SurveillanceZoneCharacteristics";"AdmArea";"District";"Location";"Parameter";"MonthlyAverage";"MonthlyAveragePDKss";
"1";"02.2016";"272777248";"Лосиный остров";"Природные территории";"Восточный административный округ";"район Метрогородок";"улица Ротерта, дом 4, строение 5";"Оксид углерода";"0.19";"0.06";
"2";"02.2016";"272777249";"Глебовская";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Богородское";"Глебовская улица, дом 3, корпус 1";"Оксид углерода";"0.32";"0.11";
"3";"02.2016";"272777250";"Глебовская";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Богородское";"Глебовская улица, дом 3, корпус 1";"Сероводород";"0.001";"";
"4";"02.2016";"272777251";"Глебовская";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Богородское";"Глебовская улица, дом 3, корпус 1";"Оксид азота";"0.014";"0.23";
"5";"02.2016";"272777252";"Глебовская";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Богородское";"Глебовская улица, дом 3, корпус 1";"Диоксид азота";"0.024";"0.59";
"6";"02.2016";"272777253";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Сумма углеводородных соединений за вычетом метана";"0.12";"";
"7";"02.2016";"272777254";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Сумма углеводородных соединений";"1.7";"";
"8";"02.2016";"272777255";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Метан";"1.58";"";
"9";"02.2016";"272777256";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Оксид углерода";"0.22";"0.07";
"10";"02.2016";"272777257";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Сероводород";"7.0E-4";"";
"11";"02.2016";"272777258";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Оксид азота";"0.01";"0.16";
"12";"02.2016";"272777259";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Диоксид азота";"0.031";"0.78";
"13";"02.2016";"272777260";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Взвешенные частицы РМ10";"0.013";"0.22";
"14";"02.2016";"272777261";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Диоксид серы";"0.004";"0.08";
"15";"02.2016";"272777262";"Новокосино";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 7, корпус 2";"Сумма углеводородных соединений за вычетом метана";"0.11";"";
"16";"02.2016";"272777263";"Новокосино";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 7, корпус 2";"Сумма углеводородных соединений";"1.24";"";
"17";"02.2016";"272777264";"Новокосино";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 7, корпус 2";"Метан";"1.13";"";
