"ID";"StationName";"global_id";"StationPurpose";"SurveillanceZoneCharacteristics";"AdmArea";"District";"Location";"Longitude";"Latitude";"StartUpYear";"IsWorking";"geoData";
"3";"Сухаревская площадь";"171656891";"контроль качества атмосферного воздуха";"Вблизи автомагистралей";"Центральный административный округ";"Мещанский район";"город Москва, Малая Сухаревская площадь, дом 1, строение 1";"37.627445";"55.773757";"1996";"да";"{type=Point, coordinates=[37.627445, 55.773757]}";
"5";"Шаболовка";"171656892";"контроль качества атмосферного воздуха";"Жилые территории";"Южный административный округ";"Донской район";"Дальний переулок, дом 2, корпус 1";"37.6052377";"55.715698";"1996";"да";"{type=Point, coordinates=[37.605237699784, 55.715698000061]}";
"7";"Казакова";"171656893";"контроль качества атмосферного воздуха";"Жилые территории";"Центральный административный округ";"Басманный район";"город Москва, Гороховский переулок, дом 4, корпус 1А";"37.6621";"55.76385";"2000";"да";"{type=Point, coordinates=[37.6621, 55.76385]}";
"8";"Марьино";"171656894";"контроль качества атмосферного воздуха";"Смешанные антропогенные источники загрязнений";"Юго-Восточный административный округ";"район Марьино";"Новомарьинская улица, дом 7";"37.751502";"55.652695";"1999";"да";"{type=Point, coordinates=[37.751501999809, 55.652695000063]}";
"12";"Зеленоград 6";"171656895";"контроль качества атмосферного воздуха";"Жилые территории";"Зеленоградский административный округ";"район Савёлки";"город Зеленоград, корпус 623";"37.22794";"55.98971";"2004";"да";"{type=Point, coordinates=[37.227940000157, 55.989710000123]}";
"13";"Зеленоград 11";"171656896";"контроль качества атмосферного воздуха";"Жилые территории";"Зеленоградский административный округ";"район Силино";"город Зеленоград, корпус 1140";"37.172252";"55.994145";"2006";"да";"{type=Point, coordinates=[37.172252000186, 55.994145000167]}";
"14";"Зеленоград 16";"171656897";"контроль качества атмосферного воздуха";"Жилые территории";"Зеленоградский административный округ";"район Крюково";"город Зеленоград, корпус 1606";"37.149584";"55.976936";"1996";"да";"{type=Point, coordinates=[37.149584000342, 55.976935999921]}";
"15";"МАДИ";"171656898";"контроль качества атмосферного воздуха";"Вблизи автомагистралей";"Северный административный округ";"район Аэропорт";"город Москва, Ленинградский проспект, дом 64";"37.527343";"55.802301";"2001";"да";"{type=Point, coordinates=[37.527343, 55.802301]}";
"16";"Бирюлево";"171656899";"контроль качества атмосферного воздуха";"Смешанные антропогенные источники загрязнений";"Южный административный округ";"район Бирюлёво Западное";"Востряковский проезд, дом 11, корпус 1";"37.643092";"55.579354";"2001";"да";"{type=Point, coordinates=[37.643091999781, 55.579354000013]}";
"19";"МГУ";"171656900";"контроль качества атмосферного воздуха";"Природные территории";"Западный административный округ";"район Раменки";"Ленинские Горы, дом 1, строение 27";"37.52241";"55.707241";"2002";"да";"{type=Point, coordinates=[37.522409999673, 55.707240999761]}";
"20";"Бутлерова";"171656901";"контроль качества атмосферного воздуха";"Вблизи автомагистралей";"Юго-Западный административный округ";"район Коньково";"улица Бутлерова, дом 15";"37.535874";"55.649412";"2003";"да";"{type=Point, coordinates=[37.535874000355, 55.64941199976]}";
"21";"Лосиный остров";"171656902";"контроль качества атмосферного воздуха";"Природные территории";"Восточный административный округ";"район Метрогородок";"улица Ротерта, дом 4, строение 5";"37.731111";"55.859444";"2002";"да";"{type=Point, coordinates=[37.731111000139, 55.859444000036]}";
"22";"Глебовская";"171656903";"контроль качества атмосферного воздуха";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Богородское";"Глебовская улица, дом 3, корпус 1";"37.71249";"55.811801";"2003";"да";"{type=Point, coordinates=[37.712489999583, 55.811800999806]}";
"23";"Люблино";"171656904";"контроль качества атмосферного воздуха";"Смешанные антропогенные источники загрязнений";"Юго-Восточный административный округ";"район Люблино";"Совхозная улица, дом 1, строение 1";"37.741263";"55.669453";"2003";"да";"{type=Point, coordinates=[37.741263000404, 55.669453000226]}";
"25";"Академика Анохина";"171656905";"контроль качества атмосферного воздуха";"Жилые территории";"Западный административный округ";"район Тропарёво-Никулино";"улица Академика Анохина, дом 38, корпус 1";"37.471434";"55.658163";"2004";"да";"{type=Point, coordinates=[37.471434000236, 55.658162999772]}";
"26";"Чаянова";"171656906";"контроль качества атмосферного воздуха";"Жилые территории";"Центральный административный округ";"Тверской район";"город Москва, 4-я Тверская-Ямская улица, дом 26/8";"37.594615";"55.774521";"2003";"да";"{type=Point, coordinates=[37.594615, 55.774521]}";
"27";"Толбухина";"171656907";"контроль качества атмосферного воздуха";"Жилые территории";"Западный административный округ";"Можайский район";"улица Толбухина, дом 10, корпус 4";"37.403491";"55.721913";"2004";"да";"{type=Point, coordinates=[37.403490999903, 55.721913000106]}";
