,Date,global_id,AdmArea,District,Longitude_WGS84,Latitude_WGS84,Location,Results,geoData,Rank
0,11.01.2016,272626552,Восточный административный округ,район Восточный,37.797262,56.007634,"посёлок Акулово, дом 7",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов,"{type=Point, coordinates=[37.797261999821, 56.007634000087]}",0
1,11.01.2016,272626555,Восточный административный округ,район Новогиреево,37.801156,55.743139,"Перовская улица, дом 66, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов,"{type=Point, coordinates=[37.801155999846, 55.743138999795]}",0
2,13.01.2016,272626556,Зеленоградский административный округ,район Старое Крюково,37.213224,55.978150,"г. Зеленоград, Георгиевский проспект, дом 7",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов,"{type=Point, coordinates=[37.213224000395, 55.978149999771]}",0
3,13.01.2016,272626557,Зеленоградский административный округ,район Силино,37.168481,55.992985,"город Зеленоград, корпус 1131",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов,"{type=Point, coordinates=[37.168481000184, 55.992984999902]}",0
4,13.01.2016,272626558,Зеленоградский административный округ,район Савёлки,37.255253,55.991013,"город Зеленоград, корпус 526",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов,"{type=Point, coordinates=[37.255252999689, 55.991012999755]}",0
5,21.01.2016,272626579,Восточный административный округ,район Новогиреево,37.801156,55.743139,"Перовская улица, дом 66, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов,"{type=Point, coordinates=[37.801155999846, 55.743138999795]}",0
6,01.02.2016,272627159,Восточный административный округ,район Новогиреево,37.788674,55.743127,"Кусковская улица, дом 37/60",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов,"{type=Point, coordinates=[37.788673999703, 55.743126999853]}",0
7,04.02.2016,272627169,Юго-Восточный административный округ,район Выхино-Жулебино,37.857000,55.677854,"Привольная улица, дом 77",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов,"{type=Point, coordinates=[37.857000000351, 55.677853999866]}",0
8,28.01.2016,272626606,Новомосковский административный округ,поселение Московский,37.315334,55.616954,деревня Лапшинка,Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов,"{type=Point, coordinates=[37.315334000351, 55.61695399988]}",0
9,25.02.2016,272627266,Юго-Восточный административный округ,район Кузьминки,37.783590,55.702226,"Волгоградский проспект, дом 130, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов,"{type=Point, coordinates=[37.783589999624, 55.702225999956]}",0
